Occupation,Category,Median weekly earnings of Men ($),Median weekly earnings of Women ($),Pay gap ($),Pay gap as a percentage
Purchasing agents except wholesale retail and farm products,sales & serving others,1514,1216,298,19.68%
Market research analysts and marketing specialists,sales & serving others,1771,1552,219,12.37%
Personal financial advisors,sales & serving others,2082,1552,530,25.46%
Credit counselors and loan officers,sales & serving others,1457,1294,163,11.19%
Chefs and head cooks,sales & serving others,854,690,164,19.20%
First-line supervisors of food preparation and serving workers,sales & serving others,819,677,142,17.34%
Cooks,sales & serving others,682,608,74,10.85%
Food preparation workers,sales & serving others,645,600,45,6.98%
Bartenders,sales & serving others,768,745,23,3.00%
Fast food and counter workers,sales & serving others,639,595,44,6.89%
Waiters and waitresses,sales & serving others,684,617,67,9.80%
Dining room and cafeteria attendants and bartender helpers,sales & serving others,607,588,19,3.13%
Recreation workers,sales & serving others,801,716,85,10.61%
First-line supervisors of retail sales workers,sales & serving others,1094,904,190,17.37%
First-line supervisors of non-retail sales workers,sales & serving others,1464,1151,313,21.38%
Cashiers,sales & serving others,616,602,14,2.27%
Retail salespersons,sales & serving others,988,710,278,28.14%
Advertising sales agents,sales & serving others,1728,1398,330,19.10%
Insurance sales agents,sales & serving others,1310,927,383,29.24%
Securities commodities and financial services sales agents,sales & serving others,2412,1654,758,31.43%
Sales representatives of services except advertising insurance financial services and travel,sales & serving others,1451,1137,314,21.64%
Sales representatives wholesale and manufacturing,sales & serving others,1535,1215,320,20.85%
Real estate brokers and sales agents,sales & serving others,1444,1215,229,15.86%
Sales and related workers all other,sales & serving others,1019,807,212,20.80%
Customer service representatives,sales & serving others,918,799,119,12.96%
Computer systems analysts,"science, tech & engineering",1894,1487,407,21.49%
Computer programmers,"science, tech & engineering",1906,1760,146,7.66%
Software developers,"science, tech & engineering",2296,2020,276,12.02%
Computer support specialists,"science, tech & engineering",1478,1348,130,8.80%
Computer occupations all other,"science, tech & engineering",1631,1430,201,12.32%
Operations research analysts,"science, tech & engineering",2208,1665,543,24.59%
Other mathematical science occupations,"science, tech & engineering",1668,1474,194,11.63%
Architects except landscape and naval,"science, tech & engineering",1893,1691,202,10.67%
Civil engineers,"science, tech & engineering",1839,1465,374,20.34%
Industrial engineers including health and safety,"science, tech & engineering",1766,1682,84,4.76%
Engineers all other,"science, tech & engineering",1953,1904,49,2.51%
Other engineering technologists and technicians except drafters,"science, tech & engineering",1287,982,305,23.70%
Medical scientists,"science, tech & engineering",2290,1537,753,32.88%
Physical scientists all other,"science, tech & engineering",1742,1649,93,5.34%
Other life physical and social science technicians,"science, tech & engineering",1430,1275,155,10.84%
Chief executives,senior managers & execs,2983,2520,463,15.52%
General and operations managers,senior managers & execs,1689,1347,342,20.25%
Marketing managers,senior managers & execs,1911,1746,165,8.63%
Sales managers,senior managers & execs,2297,1688,609,26.51%
Computer and information systems managers,senior managers & execs,2313,2192,121,5.23%
Financial managers,senior managers & execs,2100,1497,603,28.71%
Human resources managers,senior managers & execs,1891,1706,185,9.78%
Purchasing managers,senior managers & execs,1879,1585,294,15.65%
Transportation storage and distribution managers,senior managers & execs,1318,1219,99,7.51%
Construction managers,senior managers & execs,1747,1431,316,18.09%
Education and childcare administrators,senior managers & execs,1870,1469,401,21.44%
Food service managers,senior managers & execs,1121,924,197,17.57%
Medical and health services managers,senior managers & execs,1914,1540,374,19.54%
Property real estate and community association managers,senior managers & execs,1521,1143,378,24.85%
Social and community service managers,senior managers & execs,1501,1341,160,10.66%
Managers all other,senior managers & execs,1887,1536,351,18.60%
